,Course Name,Course Description,Course Subject,Course Number,Link
304,Optical Devices for High-Speed Communications (4 credits)," Prerequisite: ELEC 6221 or equivalent. Overview of optical properties of semiconductors. The fundamental principles for understanding and applying optical fiber technology, fundamental behaviour of the individual optical components and their interactions with other devices. Lasers, LED’s, optical fibers, light detectors, optical switches. Concepts and components of WDM and DWDM. A comprehensive treatment of the underlying physics such as noise and distortion in optical communications, light polarization, modulation and attenuation. A project is required.",ELEC,6261,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
305,Nanoscience and Nanotechnology: Opto-Electronic Devices (4 credits)," This course covers the fundamental principles of nanoscience and nanotechnology which include principles of quantum mechanics and quantum properties of solid state materials. Properties of metal and semiconducting nanoparticles and their synthesis; Carbon nanostructures and nanotubes; bulk nanostructured materials; Solid disordered nanostructures and nanostructured crystals; quantum wells, quantum wires, and quantum dots and their physical properties; preparation of quantum nanostructures, Introduction to NanoElectroMechanical Systems (NEMS), nanomachining and fabrication of nanodevices. A project is required.",ELEC,6271,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
306,Principles of Solid State Nanodevices (4 credits)," Prerequisite: ELEC 6271 or equivalent. Theoretical basis of nanodevices. Overview of fundamental quantum phenomena in semiconductors. Electronics in low-dimensional structures (two-dimensional electron gas, quantum wire and dots, electron scattering, transport). High-speed electron devices based on quantum structures (nanoscale MOSFETs, high-electron-mobility transistors, resonant-tunneling diodes and transistors, superlattice-based transistors). Logic gates based on quantum devices. Quantum optoelectronics (optical transitions in quantum structures, quantum well, quantum dots photodetectors and lasers, quantum cascade lasers). Single electron devices. Carbon nanotube transistors, molecular electronics and spintronics. Nanodevice technology and characterization. A project is required. Note: Students who have received credit for ELEC 691X (Principles of Solid State Nanodevices) may not take this course for credit.",ELEC,6281,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
307,Advanced Electromagnetics (4 credits)," Maxwell's equations and boundary conditions. Theorems: uniqueness, reciprocity, surface and volume equivalence. Vector potentials and solution of the homogeneous and inhomogeneous wave equations. Waveguides and scattering formulations in rectangular and cylindrical coordinates. Dielectric waveguides. Physical optics. Selected topics in integral and differential equations, ray-optical techniques, and computational methods. Applications to antennas and microwaves. A project is required.",ELEC,6301,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
308,Radiation and Scattering of Waves (4 credits)," Construction of Green’s functions. Canonical problems – waveguide, cylinder, wedge, dielectric slab. Sommerfeld integrals. Impedance boundary conditions. Surface and leaky waves. Asymptotics, method of steepest descent, method of stationary phase. High-frequency uniform asymptotic methods. Geometrical theory of diffraction. Edge diffraction, creeping waves. Applications to problems in antennas, computational electromagnetics, electromagnetic compatibility, propagation, and scattering. A project is required.",ELEC,6311,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
309,Antennas (*) (4 credits), Antenna fundamentals and definitions. Radiation integrals. Dipoles and loops. Arrays. Antenna self and mutual inductance. Matching techniques. Travelling wave antennas. Broadband antennas. Equivalence principle. Aperture antennas. Numerical techniques. Antenna measurement techniques. A project is required.,ELEC,6341,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
310,Modern Antenna Theory (4 credits)," Prerequisite: ELEC 6341. Helmholtz equation, Green’s function, current element, the ideal dipole, radiation impedance, gain directivity, reciprocity, polarization. Half-wave dipole, antennas above ground, small loop antenna, arrays of antenna, array factor, pattern multiplication array synthesis, mutual impedance, aperture antenna. Hallens integral equation, Pocklingons equation, numerical solution by the method of weighted residuals, and by the moment method, wire grids. Magnetic field integral equation and solid surfaces. Aperture antennas, aperture integration, geometrical optics, physical optics. Geometrical theory of diffraction, wedge diffraction coefficients, applications, multiple diffraction and diffraction by curved surfaces. A project is required. Note: Students who have received credit for ELEC 7341 may not take this course for credit.",ELEC,6351,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
311,Acoustics (*) (4 credits)," Sound generation and propagation in elastic media; conversion between acoustical, electric and mechanical energy. Lumped-parameter approximations, sound in rooms, underwater acoustics, microphones; loudspeakers and audio communications problems; noise and vibration control problems. A project is required.",ELEC,6361,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
312,Design of Wireless RF Systems (4 credits), Prerequisite: ELEC 6391. Introduction to wireless systems. Noise and distortion in microwave systems. Antennas and propagation. Amplifiers. Mixers. Transistor oscillators and frequency synthesizers. Modulation techniques. Receiver design. Use of RF CAD tools. A project is required.,ELEC,6371,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
313,Techniques in Electromagnetic Compatibility (4 credits)," Introduction to EMC procedures, control plans and specifications. Radiated and conducted susceptibility and emission testing. Introduction EMC antennas, antenna concepts, electric and magnetic dipoles, biconical dipoles, conical log spiral antennas, setting up fields for susceptibility testing, measuring radiation from equipment. Coupled transmission lines, pulse propagation, closely spaced parallel transmission lines, capacitive coupling, inductive coupling, shielding against magnetic fields. Shielding and enclosures, electric and magnetic field screening mechanisms, shielding effectiveness, grounding considerations. EMC test facilities, screened rooms, TEM cells. Signals and spectra, intermodulation, cross-modulation, the spectrum analyzer. Noise and pseudo-random noise, noise performance of measurement/receiving systems, noise equivalent bandwidth, noise figure, antenna noise temperature and S/N ratio. A project is required.",ELEC,6381,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
314,Microwave Engineering (*) (4 credits)," Properties of waveguides, striplines and microstrips. Scattering parameters. Butterworth and Chebyshev impedance transformers. Microwave couplers, cavities, and Fabry-Perot resonators. Periodic structures. Microwave filter design. Faraday rotation and non-reciprocal devices. A project is required.",ELEC,6391,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
315,Power Electronics I (*) (4 credits), Introduction to power electronic systems. Semiconductor switches. Basic power converter configurations. Line commutated controlled and uncontrolled ac-dc rectifiers. Basic dc-dc converters. Pulse width modulation techniques. Basic dc-ac converters. Switching power supplies. Applications to industrial power supplies and motor drives. A project is required.,ELEC,6411,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
316,Renewable Energy Systems (*) (4 credits), Prerequisite: ELEC 6411. This course covers electrical basics and models of solar energy (photo-voltaics); electrical power from wind energy (including turbine operation); electrical power from wave and tidal energy; electrical power from micro-hydro and biomass waste to energy. Fundamental energy equations will be derived from physics and the electrical power equations developed. Engineering design implications will be discussed. Design assignments are given to reinforce the engineering design based on fundamental physics. A project is required. Note: Students who have received credit for ELEC 691Z (Renewable Energy Systems) may not take this course for credit.,ELEC,6421,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
317,Advanced Electrical Machines and Drives (4 credits)," Prerequisite: ELEC 6471 or ELEC 6491. Transient modelling of electrical machines. ABC, Park’s transform and d,q, two axis modelling of synchronous and induction machines. Application of the advanced models to machine transients, for example, direct on line starting or reclosing operation. Vector control of AC machines including permanent magnet machines. Differences between permanent magnet AC and brushless DC machines. Switched reluctance motor modelling and operation. Modelling of losses in machines. A project is required. Note: Students who have received credit for ELEC 691K may not take this course for credit.",ELEC,6431,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
318,Power Electronics II (4 credits)," Prerequisite: ELEC 6411. Circuits and operating principles of self commutated dc-dc and dc-ac converters. One and four quadrant dc-dc converters. Single-phase and three-phase voltage source and current source inverters. Pulse width modulation strategies. Resonant converters. Soft switching techniques. Isolated dc-dc converters. Application to switch-mode power supplies, uninterruptible power supplies and ac motor drives. A project is required.",ELEC,6461,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
319,Hybrid Electric Vehicle Power System Design and Control (*) (4 credits)," Prerequisite: ELEC 6411. Introduction to Electric Vehicles (EV), Hybrid Electric Vehicles (HEV). Vehicle design fundamentals. Traction motors for EV/HEV propulsion. On-board energy sources and storage devices: high-voltage traction batteries, fuel cells, ultra-capacitors, flywheels. Power electronic converters and control. Various EV/HEV/Fuel Cell Vehicle topologies and modelling. Energy management strategies. Practical design considerations. Engineering impact of electric, hybrid electric, and fuel cell vehicles. A project is required.",ELEC,6471,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
320,Computer-Aided Analysis and Design of Electric Machines (4 credits)," Prerequisite: ELEC 6411. This course uses machine design software to aid in the analysis and design of electrical machines, which is offered in a computer-aided design (CAD) environment. The emphasis is on the design of electrical machines for renewable energy and electric vehicle applications. Emphasis is placed on permanent-magnet and switched reluctance machines, although machines of importance, like the induction machine, are also discussed. Magnetic equivalent circuits for a magnet and a typical machine radial field geometry are developed which lead naturally to sizing equations. Other geometries and Eddy current and hysteresis core loss models are presented. The torque angle curves of the switched reluctance machine are developed, which lead to design concepts. The synchronous reluctance machine is introduced. A project is required.",ELEC,6481,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
321,Controlled Electric Drives (4 credits)," Prerequisite: ELEC 6411. Elements of a drive system; characteristics of common mechanical systems; drive characteristics; operation in one, two or four quadrants. Fully controlled rectifier drives; braking of DC motors; control of DC motors using DC/DC converters. Control of polyphase induction motors; voltage-source and current source inverter drives; frequency-controlled induction motor drives; introduction to vector control of induction motor drives; field oriented control (FOC); sensor-less operation. Control of synchronous motors; permanent magnet motors. Switched reluctance motor (SRM) drives; stepper motors. Brush-less DC (BLDC) motor drives; low-power electronic motor drives. A project is required.",ELEC,6491,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
322,Design of Power Electronic Circuits (4 credits)," Prerequisite: ELEC 6461. Design driving factors. Characteristics of basic converter topologies, including resonant and soft switching circuits. Characteristics and limitations of power semiconductors as switching devices. Design considerations for gate drives, snubbers, power filters and protection circuits. Printed circuit board and thermal design. Application to the practical design of typical power converter systems. A project is required.",ELEC,7441,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
323,Power System Compensation (4 credits)," Prerequisite: ELEC 6411. Steady state and dynamic characteristics of transmission systems. Theory of line compensation and reactive power control; series and shunt passive compensation. Principles of operation of static compensators and basic configurations; series, shunt and shunt-series. Flexible ac transmission systems (FACTS). Line and self commutated controllers; configurations and control aspects. Applications to distribution systems. Performance evaluation and practical applications of static compensators. A project is required.",ELEC,7451,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
324,Digital Signal Processing (4 credits)," Discrete-time signals and systems, difference equation; the discrete Fourier series and transform; the Z-transform and LTI systems; sampling of continuous-time signals. Reconstruction of signals using interpolation, sampling of discrete-time signals, discrete-time decimation and interpolation, changing the sampling rate by integer and non-integer factor; multirate signal processing, polyphase decomposition, multirate filter banks; digital processing of analog signals, A/D and D/A converters; linear phase and non-linear phase systems, all-pass and minimum phase systems; recursive and non-recursive digital filters, common digital filter structures, common design approaches for digital filters; random signals; linear adaptive filters, Weiner and Least-Mean-Square filters. A project is required.",ELEC,6601,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
325,Digital Filters (4 credits)," Prerequisite: ELEC 6601. Approximation and design of recursive and non-recursive digital filters. Transformations. Stability. Digital filter structures including wave and lattice structures. Effect of quantization, noise and limit cycles. Hardware implementation. Digital filter applications. A project is required.",ELEC,6611,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
326,Digital Waveform Compression (4 credits)," Prerequisites: ELEC 6601; ENCS 6161. Numerical representation of waveform information; common waveform communication systems; statistical models used for waveforms; visual psychophysics. Differential PCM, motion estimation/compensation for video compressions. Transform coding: run length coding, Huffman and arithmetic coding, control of Q factor and Q table, segmentation/contour/edge based coding; pre-processing and post-processing strategies. Vector quantization. Sub-band coding and Wavelet Transform. Zero trees. Channel concerns: robustness, error recovery, masking video/image bit rate source models. Coding of two-level graphics. Review of standards: JPEG, MPEG, H.261. A project is required.",ELEC,6621,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
327,Video Processing and Compression (4 credits)," Prerequisite: ELEC 6601. Topics include frequency analysis video signals, colour video models; TV and video capture and display, spatial-temporal basic operations, elementary visual features; vector matrix video notation; frequency response of human vision; theory of video sampling, video quality assessment; motion modelling and estimation; temporal frame prediction, video filtering, high-dynamic-range video; fundamentals of video compression, transform coding, predictive coding, recent video compression standards, digital TV, advanced topics. A project is required.",ELEC,6631,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
328,Two-dimensional Signal and Image Processing (4 credits)," Prerequisite: ELEC 6601. Two-dimensional signals and systems: linear system fundamentals, Fourier analysis of two-dimensional signals, discrete Fourier transform, two-dimensional FIR and IIR filter design and implementations. Image enhancement and restoration: smoothing and sharpening, noise reduction, order statistics filtering, inverse filtering, Wiener filtering, constrained least-square filtering. Wavelets and filter banks: multiresolution concept, perfect reconstruction, one- and two-dimensional wavelet transforms. Introduction to image compression: lossy and lossless compression, image compression standards. Introduction to image segmentation and edge detection. Color image processing: color image representation, color space conversion, pseudo and full color image processing. A project is required. Note: Students who have taken ELEC 7631 may not take this course for credit.",ELEC,6641,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
329,Adaptive Signal Processing (4 credits), Prerequisites: ELEC 6601; ENCS 6161. Optimal filtering; adaptive filter structures; linear prediction; lattice structures; Levinson recursion. The LMS-based algorithms; basic LMS and properties; mean-square error surface; stability and convergence behavior; normalized LMS; affine projection. Recursive least-square methods; method of least-squares; block least-squares methods. Frequency-domain and sub-band adaptive filters. Kalman filtering. Applications of adaptive filters. A project is required. Note: Students who have taken ELEC 7601 may not take this course for credit.,ELEC,6651,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
330,Medical Image Processing (*) (4 credits)," Topics include principles and techniques used in the processing and analysis of medical images; image quality metrics, denoising medical images, quantification, rigid and deformable registration; similarity metrics such as mutual information (MI); images from the most common medical imaging modalities (X-ray, CT, MRI and ultrasound) will be used. A project is required. Note: Students who have taken ELEC 691 (Medical Image Processing) may not take this course for credit.",ELEC,6661,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
331,Biological Signal Processing (*) (4 credits)," Prerequisite: ELEC 6601. This course covers signal processing through discussion of current bioengineering activities which rely on signal processing and include assessment of neural function with simultaneous collection of electroencephalogram (EEG) and functional MRI data; the noninvasive assessment of cardiac autonomic regulation using electrocardiography; assessment of neural function using near-infrared spectroscopy (NIRS); assessment of muscle activity using electromyography (EMG). Topics include modern spectral analysis, time-frequency analysis (short-time Fourier transforms and wavelets); signal modelling; multivariate analyses and adaptive filtering. A project is required. Note: Students who have received credit for ELEC 691 (Biological Signal Processing) may not take this course for credit.",ELEC,6671,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
332,Biological Computing and Synthetic Biology (*) (4 credits)," Introduction to the cell and the genome. Foundations of synthetic biology and ethics. Synthetic genomes and metabolic engineering. Model organisms, such as E. coli bacteria, and synthetic cells: self-replicating cells man-made from cloned genes, a cellular membrane and the basic elements of RNA and protein synthesis. Designing computational devices for implementation in biological cells. Introduction to modelling and computer simulation of gene regulatory networks. Methods of building and testing gene regulatory networks within and without cells. Expanding functionality via inter-cellular signaling. Basic interfacing to electronic sensors and actuators. Landmark and interesting applications of synthetic biology in computer engineering and other disciplines. A project is required. Note: Students who have received credit for COEN 691A or BIOL 631B (Biological Computing and Synthetic Biology) may not take this course for credit.",COEN,6211,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
333,Software Engineering (4 credits)," Software life cycle, software requirements and requirement documentation. Software design: top-down and bottom-up approaches; design validation and design reviews. Software implementation, choice of a programming language and portability. Testing, debugging and verification. Design of test cases. Software documentation and its maintenance. Documentation tools and documentation portability, user interface design. A project is required.",COEN,6311,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
334,Model-Driven Software Engineering (4 credits)," Prerequisite: COEN 6311 or COMP 6471 or equivalent. Model-Driven Architecture (MDA), domain-based system partitioning, Platform-Independent Modelling (PIM), Platform Specific Modelling (PSM), Unified Modelling Language (UML), static and dynamic modelling with UML, UML extension mechanisms, UML profiling, Object Constraint Language (OCL), model transformation, introduction to Query/View/Transformation standard, action specification (OAL), automatic system generation. A project is required.",COEN,6312,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
335,Programming on the Cloud (*) (4 credits)," Prerequisite: COEN 6311. Topics include definition(s) of principles of cloud-based problem solving and programming; autonomy of cloud computing, service and business models, data centres and virtualization; CAP theorem, REST API and data models; MapReduce and programming model, distributed file systems for computer clusters, development environments and tools on clouds; cloud-based access and query; cloud application design principles; applications of cloud service concepts to the design of a real-world Internet service. A project is required. Note: Students who have taken COEN 691 (Programming on the Cloud) may not take this course for credit.",COEN,6313,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
336,Applied Evolutionary and Learning Algorithms (*) (4 credits)," Topics include heuristic learning algorithms applied to real-world problems of design, classification, prediction and abstraction. Genetic algorithms, genetic programming, evolutionary strategies, generative and developmental systems, artificial life approaches, swarm intelligence, self-modifying programs, tabu search, simulated annealing and support vector machines; introduction to deep learning architectures. Examples of practical applications and challenges focused on biological and biomedical engineering. A project is required.",COEN,6321,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
337,Neural Networks (4 credits)," Prerequisite: ENGR 6131. Fundamentals of artificial neural networks; rigorous analysis of and introduction to various network paradigms: perceptrons, backpropagation, counter-propagation, Hopfield nets, bi-directional associative memories, adaptive resonance theory, cognitron and neocognitron; neural network topologies, memories, learning, stability and convergence; applications to adaptive knowledge, knowledge processing, classification, pattern recognition, signal processing, communications, robotics and control; and assessment of current neural network technology. A project is required.",COEN,6331,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
338,Embedded System Modelling (4 credits)," Fundamental issues and state-of-the-art methods, tools and techniques for system-level design of heterogeneous multi-core embedded systems. Modelling at different levels, from abstract specification down to implementation across hardware-software boundaries. Embedded system specification using system-level design languages, SystemC and SpecC. Application modelling and analysis. Embedded multi-core platforms. Transaction-level platform modelling. Processor and RTOS modelling. Communication architecture modelling. A project is required.",COEN,6341,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
339,Real-time Systems (4 credits)," Taxonomy of real-time systems; Scheduling algorithms for static and dynamic tasks; Fault-tolerance and reliability; Resource and resource access control; Multiprocessor scheduling, resource access control, and synchronization; Real-time communication, Case studies in distributed real-time systems (e.g., HARTS, MARS, Spring, etc.). A project is required.",COEN,6611,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
340,Microprocessors and Their Applications (4 credits), Introduction to microprocessors and their architectures. Examples of various microprocessors. Bus and I/O Organizations. Addressing modes. Timing. Software related issues. Memory and its hierarchy. Static and dynamic memory interfacing. Synchronous and asynchronous interfacing. Interrupts. DMA. Use of Co-processors. Single chip Micro-controllers. Examples of microprocessor applications at the system level. A project is required.,COEN,6711,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
341,Fault-Tolerant Distributed Systems (4 credits)," Fundamentals of the design and analysis of fault-tolerant systems, Models for distributed systems, Fault/error models, Techniques for providing hardware/software redundancy, Fault-detection in multi-processors, Stable storage, Recovery strategies for multi-processors (checkpointing), System diagnosis, Software design faults, Experimental validation techniques, Case studies in fault-tolerant distributed systems. A project is required.",COEN,6721,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
342,Computer Architecture and Design (4 credits)," Review of basic computer architecture designs. Fundamentals of computer design and performance. Cost issues. Instruction set design principles. Memory hierarchies: registers, caches and virtual memories. Basic processor implementation issues. High performance computing issues such as pipelining, superscalar and vector processing. Input/output subsystem designs. A project is required.",COEN,6741,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
343,Advanced Computer Architecture (4 credits)," Prerequisite: COEN 6741. Multiprocessing, Parallel processing, Vector processing, MIMD, SIMD, ILP (Instruction Level Parallelism), Superscalar, VLIW, Multithreading, Systolic processors, etc. A project is required.",COEN,7741,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
344,Microfluidic Devices for Synthetic Biology (*) (4 credits)," Topics include introduction to microfluidic components (pumps, valves, automation), programming microfluidics, fabrication techniques, microfluidic paradigms, and applications for chemical and biological analysis; introduction to synthetic biology, biological parts and their properties, network structure and pathway engineering, synthetic networks, manipulating DNA and measuring responses, basic behaviour of genetic circuits, building complex genetic networks; integration of mircofluidics and synthetic biology; economic implications. A project is required. Note: Students who have taken ENGR 691 (Microfluidic Devices for Synthetic Biology) may not take this course for credit.",ENGR,6231,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
345,Analysis and Design of Pneumatic Systems (4 credits), Principles and operating characteristics of fluidic elements; modelling of wall attachment; beam deflection; turbulent and vortex amplifiers; design and analysis of microdiaphram and diaphram ejector amplifiers; methods of evaluation performance characteristics of fluid devices; passive fluidic elements; digital and analog fluidic circuit theories and their applications; case studies of fluidic systems. A project on selected topics is required.,MECH,6011,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
346,Design of Industrial Control Systems (*) (4 credits)," Prerequisite: ENGR 6101 or equivalent. Analog and digital control system design. Analog controller design methods: lead and lag compensators, pole placement, model matching, two-parameter configuration, plant input/output feedback configuration. Introduction to state-space control system. State estimator and state feedback. Introduction to digital control system. Z-transform. Difference equations. Stability in the Z-domain. Digital implementation of analog controllers. Equivalent digital plant method. Alias signals. Selection of sampling time. PID controller. A project on specific topic or applications is required.",MECH,6021,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
347,Virtual Systems Engineering (4 credits)," Prerequisite: Permission of the instructor. Theory and application of virtual systems with an emphasis on virtual prototyping of mechanical systems. Virtual system modelling: particle systems, rigid body systems, lumped parameter models, and multi-domain system modelling. Non-real-time simulation methods: numerical integration methods, stiff systems and implicit methods. Hardware-in-the-loop simulation (HIL): Real-time simulation, multi-rate simulation and scheduling. Stability, invariance, and robustness. Virtual environments. Distributed simulation and time delay analysis. Design and analysis of virtual engineering systems: specification, design, verification, validation and prototype testing. A project is required.",MECH,6041,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
348,Process Dynamics and Control (*) (4 credits)," Dynamics of mechanical and chemical processes: linear and nonlinear system capacity, resistance, piping complexes; characteristics and dynamics of control valves; process time constants; proportional, reset and derivative control actions; feed forward and cascade control, direct digital control case studies on design of level control; p-4 control and heat exchanger control; analysis of industrial hazards and security. A project on selected topics of current interest is required.",MECH,6051,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
349,Analysis and Design of Hydraulic Control Systems (*) (4 credits), Introduction to fluid power control technology; fundamentals of fluid transmission media; basic hydraulic control system components and circuits; hydraulic servosystems; modelling and dynamic analysis of hydraulic systems – design examples; basic pneumatic control system components and circuits – design examples. A projects on selected topics is required.,MECH,6061,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
350,Fuel Control Systems for Combustion Engines (4 credits)," Prerequisite: ENGR 6201. Introduction to fuel control systems for combustion engines with fuel injection. Dynamics of fuel injection for steady-state and transient process; injection characteristics for different combustion patterns; speed and power control in relation to engine characteristics; design principles of fuel systems; special requirements for starting, shut-down, schedule modulation; testing methods; wear and reliability problems. Case studies include: multicylinder in-line injection pump, rotary distributor injection pump, mecano-pneumatic fuel control unit. Full term project work on alternative fuel delivery systems and emissions control for combustion engines. Modelling and simulation. Demonstration of alternative fuel injection system on diesel engine in lab.",MECH,6081,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
351,Microprocessors and Applications (*) (4 credits)," Prerequisite: A course in industrial electronics or permission of the instructor. Introduction to the concepts and practices of using microprocessors and micro-computers in such applications as instrumentation, manufacturing, control and automation; architecture and programming techniques; interface logic circuits; I/O systems; case studies of mechanical engineering applications. A project on specific topic or applications is required.",MECH,6621,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
352,Industrial Automation (4 credits)," Introduction to mechanization of industrial processes such as machining, material handling, assembling, and quality control; selection of actuators and sensors for mechanization; design of sequential control circuits using classical methods, ladder diagram, travel-step diagram and cascade method; specifying control sequences using GRAFCET and FUP; special purpose circuits such as emergency circuits, timers, and programmable logic controllers (PLCs); case studies dealing with typical industrial manufacturing processes and computer simulation. A project on specific topic or applications is required.",MECH,6631,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
353,Dynamics of Hydraulic Control Systems (4 credits)," Prerequisites: MECH 6021, 6061. Review of hydraulic control system technology and the need for dynamic analyses. Conventional techniques for assuring good response by analysis. Power flow modelling, power bond graphs, and digital simulation techniques. Obtaining dynamic relationships and coefficients. Phenomena which can affect dynamic response. Projects on selected topics are required.",MECH,7011,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
354,Kinetic Theory of Gases (4 credits)," Equations of state for gases; molecular explanation of equations of state; introduction to quantum mechanics; the molecular theory of thermal energy and heat capacity; molecular velocity distribution, molecular collisions and the transport properties of gases, introduction to chemical kinetics. A project on specific topic or applications is required.",MECH,6101,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
355,Conduction and Radiation Heat Transfer (4 credits)," Solutions by analytical, numerical, and analogue methods of steady and transient temperature fields with and without heat sources; introduction to convection. Basic concepts and relations of radiation heat transfer, radiation of strongly absorbing media, and radiation of weakly absorbing media. A project on selected topics is required.",MECH,6131,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
356,Heat Exchanger Design (4 credits)," Review of heat transfer and flow losses; design consideration of heat exchangers; double pipe exchanger; shell and tube exchanger; extended surfaces; condenser, evaporator, regenerator, cooling tower. A project on selected topics is required.",MECH,6141,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
357,"Heating, Air Conditioning and Ventilation (*) (4 credits)"," The effect of air temperature, humidity and purity on physiological comfort; overall heat transmission coefficients of building sections, air infiltration, ventilation and solar radiation loads; heating and air conditioning load calculations; heating, air conditioning and ventilating systems, equipment and controls; design of hot water piping and air distribution systems, pressure drop calculations; selection and specifications of mechanical equipment for heating, ventilation and air conditioning applications. A project on selected applications is required.",MECH,6181,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
358,Combustion (4 credits)," Prerequisite: MECH 6111. Chemical thermodynamics; review of chemical kinetics; conservation equations for multicomponent reacting systems; detonation and deflagration of premixed materials; premixed laminar flames; gaseous diffusion flames, droplet combustion; turbulent flames; two-phase reacting systems; chemically reacting boundary layers. Projects on selected topics are required.",MECH,6191,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
359,Convection Heat Transfer (4 credits)," Prerequisite: ENGR 6201. Heat transfer in laminar flow, review of the differential and integral forms of the general energy equation for boundary layer regimes; solution of the energy equation for free convection, forced convection and heat transfer in entrance regions. Heat transfer in turbulent flow; review of the energy equation for turbulent flow; momentum-heat transfer analogies; experimental results for forced convection, free convection, and combined free and forced convection. Project or term paper required.",MECH,7101,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
360,Sensors and Actuators (4 credits)," Elements of smart sensors and systems and their structures; properties of various smart materials including piezoelectric, pyroelectric, shape memory alloys, Rheological fluids, piezoresistive and magnetostrictive; physical and mathematical basis of smart materials; characterization of smart multi-functional materials; sensors and actuators in mechatronics; design and fabrication of sensors and actuators by micromachining; survey of classical system theory; design of sensors and actuators for applications in industrial and medical robotics, haptics, and other systems such as aerospace and smart structures. The students are required to undertake a project work involving design of smart sensors/actuators for specific applications.",ENGR,6161,https://www.concordia.ca/academics/graduate/calendar/current/encs/engineering-courses.html
